month,day,player,year_born,years_played,games_played,field_goals,field_goal_attempts,3point_field_goals,3point_field_goal_attempts,free_throws,free_throw_attempts,offensive_rebounds,steals,blocks,turnovers,personal_fouls,win_shares,field_goal_percent,3point_field_goal_percent,free_throw_percent,minutes_played_per_game,points_per_game,total_rebounds_per_game,assists_per_game,points,minutes_played,total_rebounds,assists,age,city,region,position,college,team_recent,dunkattempts,championship,sex,status,height_default,height_cm,weight_kg,weight_lb
January,3,Jay Edwards,1969,1,4,3,7,0,2,1,3,1,1,0,1,4,0,0.429,0,0.333,6.5,1.8,0.5,1,7,26,2,4,56, Muncie, Indiana,Shooting Guard,Indiana,Los Angeles Clippers,,no,male,Alive,6-4,193,83,185
January,3,Tony Farmer,1970,2,101,144,365,10,53,234,304,134,76,20,91,190,3.2,0.395,0.189,0.77,13.5,5.3,3.2,0.8,532,1368,327,79,55, Los Angeles, California,Power Forward,,Golden State Warriors,24,no,male,Alive,6-9,206,110,244
January,3,Tony Farmer,1970,2,101,144,365,10,53,234,304,134,76,20,91,190,3.2,0.395,0.189,0.77,13.5,5.3,3.2,0.8,532,1368,327,79,55, Los Angeles, California,Center,,Golden State Warriors,24,no,male,Alive,6-9,206,110,244
January,3,Rondae Hollis-Jefferson,1995,6,305,1004,2238,44,208,708,963,440,278,162,392,620,12.9,0.449,0.212,0.735,22.2,9,5.5,1.9,2760,6759,1684,579,30, Chester, Pennsylvania,Small Forward,Arizona,Brooklyn Nets,121,no,male,Alive,6-6,198,98,217
January,3,Rondae Hollis-Jefferson,1995,6,305,1004,2238,44,208,708,963,440,278,162,392,620,12.9,0.449,0.212,0.735,22.2,9,5.5,1.9,2760,6759,1684,579,30, Chester, Pennsylvania,Power Forward,Arizona,Brooklyn Nets,121,no,male,Alive,6-6,198,98,217
January,3,Buck Johnson,1964,7,505,1922,3942,7,62,766,1038,623,404,252,664,1403,20.8,0.488,0.113,0.738,23.5,9.1,3.5,1.7,4617,11849,1760,856,61, Birmingham, Alabama,Small Forward,Alabama,Houston Rockets,,no,male,Alive,6-7,201,86,190
January,3,Linas Kleiza,1985,7,409,1268,2912,387,1154,638,836,388,159,73,409,886,13.6,0.435,0.335,0.763,20,8.7,3.6,0.8,3561,8185,1470,321,40, Kaunas, Lithuania,Small Forward,Missouri,Toronto Raptors,170,no,male,Alive,6-8,203,111,245
January,3,Linas Kleiza,1985,7,409,1268,2912,387,1154,638,836,388,159,73,409,886,13.6,0.435,0.335,0.763,20,8.7,3.6,0.8,3561,8185,1470,321,40, Kaunas, Lithuania,Power Forward,Missouri,Toronto Raptors,170,no,male,Alive,6-8,203,111,245
January,3,Bobby Lloyd,1946,2,125,362,890,15,39,388,445,25,,,169,290,5.3,0.407,0.385,0.872,18.8,9,1.8,1.8,1127,2353,220,229,79, Upper Darby, Pennsylvania,Point Guard,Rutgers University,New York Nets,,no,male,Alive,6-2,188,83,184
January,3,Don May,1946,7,379,1351,2981,,,637,798,29,29,10,,751,11.4,0.453,,0.798,17.5,8.8,3.5,1,3339,6619,1309,389,79, Dayton, Ohio,Small Forward,Dayton,Philadelphia 76ers,,yes,male,Alive,6-4,193,90,200
January,3,Doug McDermott,1992,11,682,2234,4742,971,2362,518,644,260,146,62,435,980,21.5,0.471,0.411,0.804,19.7,8.7,2.1,1,5957,13497,1451,661,33, Grand Forks, North Dakota,Small Forward,Creighton,Sacramento Kings,118,no,male,Alive,6-6,198,102,225
